,keywords
0,"['jealousy', 'toy', 'boy', 'friendship', 'friends', 'rivalry', 'boy next door', 'new toy', 'toy comes to life']"
1,"['board game', 'disappearance', ""based on children's book"", 'new home', 'recluse', 'giant insect']"
2,"['fishing', 'best friend', 'duringcreditsstinger', 'old men']"
3,"['based on novel', 'interracial relationship', 'single mother', 'divorce', 'chick flick']"
4,"['baby', 'midlife crisis', 'confidence', 'aging', 'daughter', 'mother daughter relationship', 'pregnancy', 'contraception', 'gynecologist']"
5,"['robbery', 'detective', 'bank', 'obsession', 'chase', 'shooting', 'thief', 'honor', 'murder', 'suspense', 'heist', 'betrayal', 'money', 'gang', 'cat and mouse', 'criminal mastermind', 'cult film', 'ex-con', 'heist movie', 'one last job', 'loner', 'bank job', 'neo-noir', 'gun fight', 'crime epic']"
6,"['paris', 'brother brother relationship', 'chauffeur', 'long island', 'fusion', 'millionaire']"
7,[]
8,"['terrorist', 'hostage', 'explosive', 'vice president']"
9,"['cuba', 'falsely accused', 'secret identity', 'computer virus', 'secret base', 'secret intelligence service', 'kgb', 'satellite', 'special car', 'cossack', 'electromagnetic pulse', 'time bomb', 'st. petersburg russia', 'ejection seat', 'red army']"
10,"['white house', 'usa president', 'new love', 'widower', 'wildlife conservation']"
11,"['dracula', 'spoof']"
12,"['wolf', 'dog-sledding race', 'alaska', 'dog', 'goose', 'bear attack', 'dog sled', 'frozen lake']"
13,"['usa president', 'presidential election', 'watergate scandal', 'biography', 'government', 'historical figure']"
14,"['exotic island', 'treasure', 'map', 'ship', 'scalp', 'pirate']"
15,"['poker', 'drug abuse', '1970s', 'overdose', 'illegal prostitution']"
16,"['bowling', 'based on novel', 'servant', 'country life', 'jane austen', 'inheritance', 'military officer', 'period drama', 'rainstorm', 'horse and carriage', 'decorum']"
17,"['hotel', ""new year's eve"", 'witch', 'bet', 'hotel room', 'sperm', 'los angeles', 'hoodlum', 'woman director', 'episode film']"
18,"['africa', 'indigenous', 'human animal relationship', 'bat']"
19,"['brother brother relationship', 'subway', 'new york city', 'new york subway', 'train robbery']"
20,"['gambling', 'miami', 'based on novel', 'job', 'murder', 'travel', 'mafia', 'money', 'debt', 'mobster', 'business', 'hollywood', 'gangster', 'crime', 'violence', 'drug', 'producer', 'con']"
21,"['police brutality', 'psychology', 'police operation', 'police protection', 'serial killer', 'psychologist', 'cowardliness']"
22,"['competition', 'assassination', 'cia', 'bank', 'cat', 'mexican standoff', 'seattle', 'hitman', 'mission of murder', 'hidden camera', 'rivalry', 'rescue', 'shootout', 'police chase', 'sniper rifle', 'silencer', 'double cross', 'caribbean', 'detroit michigan']"
23,"['dead animal', 'shot to death', 'teenage boy', 'held at gunpoint', 'teacher student relationship', 'albino', 'fainting', 'jacobs ladder', 'christ allegory', 'psionic power', 'healing power', 'looking pale', 'flickering light', 'extrasensory perception']"
24,"['individual', 'prostitute', 'alcohol', 'casino', 'love at first sight', 'lovesickness', 'film producer', 'screenwriter', 'hotel room', 'dying and death', 'rage and hate', 'unsociability', 'alcoholism', 'los angeles', 'alcohol abuse', 'attempted suicide']"
25,"['shakespeare', 'jealousy', 'friends', 'moor']"
26,"['1970s', 'female friendship', 'coming of age', 'gynecologist', 'photocopier', 'truth or dare', 'woman director']"
27,"['captain', 'napoleonic wars', 'old flame', 'admiral']"
28,"['clone', 'dream', 'island', 'eye', 'dystopia', 'aging', 'friendship', 'rescue', 'children', 'girl', 'childhood']"
29,"['servant', 'cabaret', 'shanghai', 'diva', 'uncle', 'mistress', 'umbrella']"
30,"['rap music', 'karate', 'high school', 'naval officer', 'teacher', 'amusement park']"
31,"['schizophrenia', 'philadelphia', 'cassandra syndrom', 'stockholm syndrome', 'time travel', 'post-apocalyptic', 'dystopia', 'lethal virus', 'monkey', 'subterranean']"
32,[]
33,"['sheep', 'pig', 'affection', 'piglet', 'heroism', 'talking animal', 'separation', 'german shepherd', 'grandson', 'talking pig']"
34,"['england', 'painter', 'conscientious objector', 'independent film', 'soldier']"
